conversation_id,domain,n_turns,n_changes,n_transitions,drift_score,emotions
art_7_9,art,9,8,8,1.0,"['happy', 'excited', 'curious', 'excited', 'proud', 'happy', 'amused', 'curious', 'enthusiastic']"
art_85_8,art,8,7,7,1.0,"['hopeful', 'curious', 'amused', 'curious', 'amused', 'excited', 'curious', 'amused']"
art_91_10,art,20,14,19,0.7368421052631579,"['proud', 'proud', 'excited', 'enthusiastic', 'happy', 'excited', 'curious', 'surprised', 'amused', 'excited', 'excited', 'proud', 'proud', 'grateful', 'grateful', 'proud', 'happy', 'happy', 'grateful', 'enthusiastic']"
art_92_9,art,9,8,8,1.0,"['happy', 'curious', 'amused', 'curious', 'enthusiastic', 'proud', 'excited', 'proud', 'excited']"
books_11_9,books,9,8,8,1.0,"['excited', 'proud', 'relaxed', 'nostalgic', 'sad', 'nostalgic', 'relaxed', 'amused', 'happy']"
books_34_9,books,9,8,8,1.0,"['nostalgic', 'relaxed', 'amused', 'relaxed', 'nostalgic', 'relaxed', 'amused', 'curious', 'amused']"
books_35_10,books,10,9,9,1.0,"['proud', 'excited', 'proud', 'enthusiastic', 'proud', 'enthusiastic', 'excited', 'proud', 'relaxed', 'amused']"
books_37_8,books,24,22,23,0.9565217391304348,"['surprised', 'amused', 'sad', 'excited', 'excited', 'nostalgic', 'curious', 'amused', 'sad', 'enthusiastic', 'happy', 'nostalgic', 'curious', 'amused', 'relaxed', 'confused', 'relaxed', 'happy', 'surprised', 'nostalgic', 'enthusiastic', 'excited', 'relaxed', 'curious']"
books_3_8,books,8,7,7,1.0,"['relaxed', 'nostalgic', 'relaxed', 'nostalgic', 'sad', 'nostalgic', 'relaxed', 'amused']"
books_41_9,books,18,17,17,1.0,"['sad', 'excited', 'nostalgic', 'proud', 'relaxed', 'happy', 'amused', 'curious', 'happy', 'excited', 'relaxed', 'proud', 'nostalgic', 'excited', 'sad', 'enthusiastic', 'nostalgic', 'happy']"
books_49_8,books,8,7,7,1.0,"['proud', 'relaxed', 'nostalgic', 'sad', 'nostalgic', 'hopeful', 'curious', 'confused']"
books_55_10,books,30,26,29,0.896551724137931,"['sad', 'amused', 'amused', 'nostalgic', 'happy', 'curious', 'relaxed', 'amused', 'enthusiastic', 'nostalgic', 'excited', 'curious', 'relaxed', 'enthusiastic', 'amused', 'amused', 'excited', 'happy', 'excited', 'enthusiastic', 'relaxed', 'curious', 'happy', 'nostalgic', 'enthusiastic', 'curious', 'sad', 'excited', 'excited', 'nostalgic']"
books_59_9,books,9,8,8,1.0,"['excited', 'enthusiastic', 'excited', 'amused', 'surprised', 'excited', 'proud', 'excited', 'proud']"
books_61_10,books,20,16,19,0.8421052631578947,"['nostalgic', 'nostalgic', 'grateful', 'relaxed', 'relaxed', 'nostalgic', 'amused', 'sad', 'excited', 'nostalgic', 'enthusiastic', 'relaxed', 'excited', 'amused', 'enthusiastic', 'curious', 'curious', 'amused', 'surprised', 'curious']"
books_64_8,books,8,7,7,1.0,"['nostalgic', 'sad', 'nostalgic', 'relaxed', 'amused', 'surprised', 'excited', 'curious']"
books_76_10,books,20,18,19,0.9473684210526315,"['enthusiastic', 'excited', 'curious', 'enthusiastic', 'enthusiastic', 'excited', 'curious', 'enthusiastic', 'surprised', 'hopeful', 'amused', 'nostalgic', 'curious', 'sad', 'amused', 'anxious', 'curious', 'surprised', 'amused', 'excited']"
books_76_8,books,8,7,7,1.0,"['surprised', 'happy', 'enthusiastic', 'excited', 'proud', 'excited', 'curious', 'amused']"
books_85_9,books,9,8,8,1.0,"['curious', 'excited', 'amused', 'excited', 'proud', 'excited', 'surprised', 'excited', 'curious']"
books_86_8,books,24,21,23,0.9130434782608695,"['curious', 'surprised', 'nostalgic', 'amused', 'amused', 'relaxed', 'curious', 'happy', 'nostalgic', 'surprised', 'relaxed', 'grateful', 'excited', 'amused', 'relaxed', 'curious', 'relaxed', 'nostalgic', 'surprised', 'happy', 'grateful', 'excited', 'excited', 'proud']"
books_87_10,books,30,23,29,0.7931034482758621,"['amused', 'amused', 'excited', 'excited', 'surprised', 'amused', 'amused', 'excited', 'curious', 'curious', 'amused', 'enthusiastic', 'excited', 'surprised', 'curious', 'amused', 'excited', 'excited', 'excited', 'enthusiastic', 'curious', 'proud', 'curious', 'surprised', 'excited', 'enthusiastic', 'curious', 'enthusiastic', 'proud', 'enthusiastic']"
books_96_8,books,8,7,7,1.0,"['enthusiastic', 'curious', 'excited', 'proud', 'excited', 'amused', 'happy', 'curious']"
books_98_8,books,8,7,7,1.0,"['enthusiastic', 'hopeful', 'curious', 'amused', 'relaxed', 'amused', 'excited', 'enthusiastic']"
cars_11_8,cars,16,14,15,0.9333333333333333,"['enthusiastic', 'amused', 'hopeful', 'relaxed', 'happy', 'nostalgic', 'amused', 'grateful', 'happy', 'happy', 'curious', 'amused', 'surprised', 'curious', 'excited', 'amused']"
cars_12_10,cars,10,9,9,1.0,"['happy', 'excited', 'curious', 'amused', 'excited', 'surprised', 'curious', 'enthusiastic', 'proud', 'grateful']"
cars_13_9,cars,9,8,8,1.0,"['enthusiastic', 'happy', 'grateful', 'proud', 'happy', 'proud', 'grateful', 'happy', 'amused']"
cars_15_8,cars,16,13,15,0.8666666666666667,"['hopeful', 'proud', 'happy', 'happy', 'excited', 'amused', 'enthusiastic', 'excited', 'proud', 'happy', 'happy', 'excited', 'enthusiastic', 'happy', 'hopeful', 'excited']"
cars_1_10,cars,20,16,19,0.8421052631578947,"['enthusiastic', 'amused', 'curious', 'curious', 'amused', 'excited', 'excited', 'enthusiastic', 'curious', 'proud', 'enthusiastic', 'excited', 'proud', 'happy', 'excited', 'amused', 'curious', 'happy', 'amused', 'amused']"
cars_25_8,cars,8,7,7,1.0,"['hopeful', 'happy', 'enthusiastic', 'excited', 'amused', 'excited', 'curious', 'amused']"
cars_27_10,cars,10,9,9,1.0,"['enthusiastic', 'excited', 'proud', 'excited', 'enthusiastic', 'curious', 'amused', 'happy', 'curious', 'enthusiastic']"
cars_33_8,cars,8,7,7,1.0,"['enthusiastic', 'proud', 'happy', 'excited', 'enthusiastic', 'curious', 'amused', 'excited']"
cars_35_9,cars,18,14,17,0.8235294117647058,"['excited', 'hopeful', 'amused', 'excited', 'curious', 'happy', 'amused', 'amused', 'curious', 'curious', 'amused', 'enthusiastic', 'relaxed', 'proud', 'amused', 'happy', 'happy', 'enthusiastic']"
cars_43_10,cars,20,16,19,0.8421052631578947,"['excited', 'enthusiastic', 'amused', 'curious', 'excited', 'enthusiastic', 'happy', 'excited', 'amused', 'amused', 'excited', 'happy', 'amused', 'amused', 'happy', 'happy', 'enthusiastic', 'proud', 'happy', 'excited']"
cars_43_8,cars,8,7,7,1.0,"['enthusiastic', 'hopeful', 'anxious', 'hopeful', 'grateful', 'hopeful', 'happy', 'curious']"
cars_49_10,cars,10,9,9,1.0,"['enthusiastic', 'excited', 'amused', 'excited', 'enthusiastic', 'curious', 'amused', 'curious', 'surprised', 'amused']"
cars_49_9,cars,9,8,8,1.0,"['amused', 'curious', 'enthusiastic', 'proud', 'relaxed', 'happy', 'enthusiastic', 'hopeful', 'happy']"
cars_52_9,cars,27,19,26,0.7307692307692307,"['hopeful', 'hopeful', 'proud', 'curious', 'curious', 'enthusiastic', 'enthusiastic', 'excited', 'proud', 'hopeful', 'amused', 'grateful', 'curious', 'relaxed', 'proud', 'amused', 'amused', 'excited', 'curious', 'happy', 'amused', 'amused', 'amused', 'curious', 'curious', 'happy', 'amused']"
cars_56_10,cars,10,9,9,1.0,"['amused', 'excited', 'proud', 'enthusiastic', 'proud', 'happy', 'excited', 'happy', 'proud', 'happy']"
cars_60_9,cars,9,8,8,1.0,"['amused', 'surprised', 'worried', 'hopeful', 'curious', 'excited', 'happy', 'enthusiastic', 'hopeful']"
cars_64_10,cars,10,9,9,1.0,"['curious', 'excited', 'enthusiastic', 'excited', 'curious', 'amused', 'curious', 'amused', 'curious', 'amused']"
cars_65_8,cars,16,13,15,0.8666666666666667,"['happy', 'happy', 'amused', 'excited', 'relaxed', 'curious', 'happy', 'excited', 'proud', 'curious', 'grateful', 'excited', 'happy', 'happy', 'curious', 'amused']"
cars_67_9,cars,9,8,8,1.0,"['amused', 'curious', 'amused', 'excited', 'enthusiastic', 'happy', 'excited', 'proud', 'happy']"
cars_69_10,cars,10,9,9,1.0,"['hopeful', 'excited', 'happy', 'proud', 'excited', 'happy', 'amused', 'happy', 'amused', 'excited']"
cars_7_10,cars,10,9,9,1.0,"['excited', 'amused', 'excited', 'curious', 'amused', 'curious', 'enthusiastic', 'hopeful', 'curious', 'enthusiastic']"
cars_80_8,cars,16,11,15,0.7333333333333333,"['proud', 'amused', 'excited', 'excited', 'proud', 'proud', 'enthusiastic', 'excited', 'happy', 'amused', 'excited', 'excited', 'amused', 'happy', 'happy', 'curious']"
cars_88_8,cars,16,12,15,0.8,"['enthusiastic', 'excited', 'excited', 'proud', 'amused', 'enthusiastic', 'curious', 'excited', 'amused', 'happy', 'happy', 'amused', 'excited', 'excited', 'amused', 'curious']"
cars_8_10,cars,10,9,9,1.0,"['proud', 'excited', 'curious', 'enthusiastic', 'hopeful', 'happy', 'enthusiastic', 'curious', 'enthusiastic', 'happy']"
cars_94_9,cars,9,8,8,1.0,"['amused', 'happy', 'excited', 'amused', 'happy', 'proud', 'excited', 'happy', 'amused']"
cars_95_10,cars,10,9,9,1.0,"['proud', 'enthusiastic', 'happy', 'enthusiastic', 'proud', 'happy', 'excited', 'enthusiastic', 'happy', 'enthusiastic']"
celebrities_16_10,celebrities,30,21,29,0.7241379310344828,"['frustrated', 'curious', 'curious', 'disappointed', 'enthusiastic', 'amused', 'anxious', 'excited', 'surprised', 'surprised', 'happy', 'curious', 'amused', 'excited', 'excited', 'curious', 'curious', 'curious', 'enthusiastic', 'amused', 'enthusiastic', 'curious', 'excited', 'excited', 'amused', 'amused', 'surprised', 'surprised', 'curious', 'happy']"
celebrities_1_8,celebrities,8,7,7,1.0,"['surprised', 'happy', 'enthusiastic', 'excited', 'enthusiastic', 'curious', 'enthusiastic', 'excited']"
celebrities_21_8,celebrities,8,7,7,1.0,"['sad', 'frustrated', 'surprised', 'curious', 'amused', 'surprised', 'curious', 'amused']"
celebrities_24_10,celebrities,10,9,9,1.0,"['enthusiastic', 'excited', 'happy', 'amused', 'curious', 'amused', 'excited', 'surprised', 'excited', 'enthusiastic']"
celebrities_36_9,celebrities,9,8,8,1.0,"['sad', 'worried', 'frustrated', 'surprised', 'excited', 'enthusiastic', 'curious', 'amused', 'relaxed']"
celebrities_49_10,celebrities,20,18,19,0.9473684210526315,"['surprised', 'grateful', 'curious', 'relaxed', 'enthusiastic', 'amused', 'curious', 'surprised', 'excited', 'worried', 'surprised', 'confused', 'amused', 'frustrated', 'excited', 'angry', 'enthusiastic', 'surprised', 'excited', 'excited']"
celebrities_4_9,celebrities,18,15,17,0.8823529411764706,"['excited', 'frustrated', 'amused', 'angry', 'happy', 'frustrated', 'proud', 'angry', 'grateful', 'frustrated', 'proud', 'surprised', 'excited', 'confused', 'curious', 'curious', 'surprised', 'surprised']"
celebrities_51_9,celebrities,9,8,8,1.0,"['grateful', 'hopeful', 'grateful', 'nostalgic', 'grateful', 'proud', 'grateful', 'happy', 'enthusiastic']"
celebrities_53_8,celebrities,16,14,15,0.9333333333333333,"['excited', 'angry', 'amused', 'frustrated', 'curious', 'surprised', 'enthusiastic', 'curious', 'excited', 'surprised', 'surprised', 'curious', 'amused', 'surprised', 'excited', 'amused']"
celebrities_5_9,celebrities,9,8,8,1.0,"['curious', 'enthusiastic', 'excited', 'curious', 'excited', 'proud', 'excited', 'amused', 'curious']"
celebrities_69_10,celebrities,10,9,9,1.0,"['frustrated', 'angry', 'surprised', 'curious', 'amused', 'excited', 'happy', 'grateful', 'proud', 'enthusiastic']"
celebrities_73_8,celebrities,8,7,7,1.0,"['excited', 'surprised', 'amused', 'surprised', 'happy', 'enthusiastic', 'curious', 'excited']"
celebrities_7_9,celebrities,27,25,26,0.9615384615384616,"['curious', 'enthusiastic', 'curious', 'surprised', 'excited', 'confused', 'excited', 'enthusiastic', 'surprised', 'enthusiastic', 'excited', 'excited', 'curious', 'amused', 'surprised', 'amused', 'surprised', 'curious', 'surprised', 'curious', 'amused', 'curious', 'enthusiastic', 'curious', 'surprised', 'excited', 'amused']"
celebrities_80_8,celebrities,8,7,7,1.0,"['excited', 'amused', 'excited', 'happy', 'curious', 'surprised', 'curious', 'amused']"
celebrities_84_10,celebrities,10,9,9,1.0,"['sad', 'frustrated', 'surprised', 'excited', 'amused', 'excited', 'amused', 'excited', 'surprised', 'curious']"
celebrities_86_8,celebrities,8,7,7,1.0,"['sad', 'disappointed', 'sad', 'frustrated', 'angry', 'frustrated', 'surprised', 'excited']"
celebrities_91_10,celebrities,20,15,19,0.7894736842105263,"['amused', 'surprised', 'excited', 'excited', 'curious', 'curious', 'amused', 'amused', 'excited', 'surprised', 'curious', 'amused', 'surprised', 'curious', 'curious', 'amused', 'enthusiastic', 'excited', 'curious', 'amused']"
celebrities_96_10,celebrities,10,9,9,1.0,"['sad', 'frustrated', 'worried', 'hopeful', 'grateful', 'proud', 'enthusiastic', 'curious', 'surprised', 'amused']"
coding_100_10,coding,20,17,19,0.8947368421052632,"['excited', 'curious', 'happy', 'confused', 'excited', 'curious', 'curious', 'amused', 'excited', 'excited', 'enthusiastic', 'amused', 'curious', 'happy', 'enthusiastic', 'excited', 'hopeful', 'enthusiastic', 'happy', 'excited']"
coding_10_9,coding,9,8,8,1.0,"['curious', 'excited', 'happy', 'excited', 'proud', 'grateful', 'happy', 'amused', 'happy']"
coding_22_10,coding,10,9,9,1.0,"['excited', 'proud', 'happy', 'amused', 'curious', 'enthusiastic', 'excited', 'enthusiastic', 'curious', 'enthusiastic']"
coding_26_9,coding,18,16,17,0.9411764705882353,"['amused', 'excited', 'happy', 'curious', 'excited', 'amused', 'proud', 'happy', 'excited', 'enthusiastic', 'proud', 'happy', 'enthusiastic', 'proud', 'curious', 'excited', 'amused', 'amused']"
coding_38_9,coding,18,15,17,0.8823529411764706,"['proud', 'hopeful', 'enthusiastic', 'curious', 'hopeful', 'amused', 'excited', 'excited', 'happy', 'amused', 'grateful', 'excited', 'hopeful', 'curious', 'excited', 'amused', 'amused', 'curious']"
coding_39_10,coding,10,9,9,1.0,"['happy', 'amused', 'relaxed', 'happy', 'enthusiastic', 'curious', 'excited', 'amused', 'curious', 'amused']"
coding_44_9,coding,18,15,17,0.8823529411764706,"['amused', 'proud', 'happy', 'happy', 'excited', 'proud', 'proud', 'enthusiastic', 'happy', 'proud', 'curious', 'excited', 'confused', 'happy', 'anxious', 'proud', 'hopeful', 'enthusiastic']"
coding_46_10,coding,30,27,29,0.9310344827586207,"['happy', 'enthusiastic', 'amused', 'enthusiastic', 'proud', 'curious', 'happy', 'enthusiastic', 'amused', 'amused', 'excited', 'curious', 'excited', 'enthusiastic', 'enthusiastic', 'curious', 'excited', 'hopeful', 'amused', 'enthusiastic', 'excited', 'curious', 'happy', 'enthusiastic', 'amused', 'enthusiastic', 'curious', 'excited', 'happy', 'excited']"
coding_46_9,coding,18,17,17,1.0,"['excited', 'hopeful', 'enthusiastic', 'happy', 'proud', 'excited', 'happy', 'curious', 'grateful', 'enthusiastic', 'proud', 'happy', 'excited', 'proud', 'amused', 'happy', 'excited', 'amused']"
coding_4_8,coding,8,7,7,1.0,"['amused', 'happy', 'amused', 'happy', 'enthusiastic', 'happy', 'excited', 'happy']"
coding_50_10,coding,10,9,9,1.0,"['hopeful', 'curious', 'surprised', 'amused', 'excited', 'proud', 'happy', 'amused', 'relaxed', 'nostalgic']"
coding_50_9,coding,18,12,17,0.7058823529411765,"['proud', 'hopeful', 'enthusiastic', 'excited', 'excited', 'curious', 'happy', 'enthusiastic', 'enthusiastic', 'happy', 'curious', 'excited', 'amused', 'amused', 'curious', 'curious', 'enthusiastic', 'enthusiastic']"
coding_66_9,coding,9,8,8,1.0,"['proud', 'excited', 'amused', 'happy', 'enthusiastic', 'curious', 'excited', 'enthusiastic', 'hopeful']"
coding_73_10,coding,10,9,9,1.0,"['happy', 'amused', 'curious', 'excited', 'curious', 'excited', 'enthusiastic', 'proud', 'enthusiastic', 'curious']"
coding_78_10,coding,10,9,9,1.0,"['hopeful', 'excited', 'surprised', 'curious', 'enthusiastic', 'proud', 'enthusiastic', 'excited', 'amused', 'excited']"
coding_88_9,coding,9,8,8,1.0,"['excited', 'happy', 'curious', 'excited', 'happy', 'amused', 'happy', 'proud', 'enthusiastic']"
coding_89_10,coding,10,9,9,1.0,"['amused', 'excited', 'happy', 'proud', 'happy', 'amused', 'excited', 'surprised', 'confused', 'curious']"
coding_91_10,coding,50,44,49,0.8979591836734694,"['proud', 'hopeful', 'enthusiastic', 'excited', 'hopeful', 'enthusiastic', 'nostalgic', 'proud', 'curious', 'happy', 'excited', 'happy', 'happy', 'amused', 'curious', 'amused', 'enthusiastic', 'enthusiastic', 'excited', 'amused', 'curious', 'curious', 'happy', 'surprised', 'happy', 'amused', 'amused', 'enthusiastic', 'happy', 'excited', 'curious', 'excited', 'happy', 'proud', 'curious', 'excited', 'enthusiastic', 'proud', 'relaxed', 'amused', 'enthusiastic', 'curious', 'enthusiastic', 'happy', 'curious', 'happy', 'amused', 'proud', 'proud', 'enthusiastic']"
coding_95_8,coding,16,13,15,0.8666666666666667,"['hopeful', 'excited', 'happy', 'amused', 'grateful', 'excited', 'relaxed', 'amused', 'hopeful', 'excited', 'excited', 'enthusiastic', 'proud', 'proud', 'enthusiastic', 'grateful']"
coding_9_9,coding,9,8,8,1.0,"['proud', 'happy', 'curious', 'enthusiastic', 'proud', 'excited', 'amused', 'happy', 'proud']"
cooking_10_10,cooking,20,17,19,0.8947368421052632,"['relaxed', 'amused', 'hopeful', 'curious', 'happy', 'amused', 'amused', 'excited', 'excited', 'amused', 'proud', 'relaxed', 'excited', 'nostalgic', 'curious', 'relaxed', 'excited', 'happy', 'enthusiastic', 'amused']"
cooking_11_8,cooking,24,21,23,0.9130434782608695,"['excited', 'enthusiastic', 'amused', 'happy', 'excited', 'excited', 'curious', 'amused', 'curious', 'surprised', 'excited', 'enthusiastic', 'curious', 'happy', 'excited', 'confused', 'amused', 'enthusiastic', 'curious', 'happy', 'happy', 'excited', 'amused', 'grateful']"
cooking_12_10,cooking,30,24,29,0.8275862068965517,"['curious', 'amused', 'enthusiastic', 'amused', 'relaxed', 'curious', 'curious', 'happy', 'enthusiastic', 'amused', 'proud', 'curious', 'curious', 'enthusiastic', 'excited', 'enthusiastic', 'excited', 'curious', 'curious', 'happy', 'excited', 'excited', 'relaxed', 'enthusiastic', 'happy', 'grateful', 'happy', 'relaxed', 'relaxed', 'proud']"
cooking_18_8,cooking,24,20,23,0.8695652173913043,"['relaxed', 'amused', 'grateful', 'grateful', 'relaxed', 'happy', 'relaxed', 'amused', 'enthusiastic', 'happy', 'excited', 'happy', 'amused', 'amused', 'curious', 'happy', 'curious', 'enthusiastic', 'amused', 'excited', 'excited', 'curious', 'proud', 'happy']"
cooking_26_8,cooking,8,7,7,1.0,"['grateful', 'happy', 'amused', 'happy', 'amused', 'excited', 'curious', 'enthusiastic']"
cooking_47_8,cooking,16,14,15,0.9333333333333333,"['happy', 'enthusiastic', 'relaxed', 'happy', 'happy', 'grateful', 'excited', 'relaxed', 'enthusiastic', 'grateful', 'curious', 'relaxed', 'excited', 'nostalgic', 'curious', 'relaxed']"
cooking_51_9,cooking,9,8,8,1.0,"['curious', 'enthusiastic', 'excited', 'happy', 'relaxed', 'amused', 'surprised', 'excited', 'amused']"
cooking_53_8,cooking,8,7,7,1.0,"['excited', 'happy', 'relaxed', 'happy', 'curious', 'excited', 'enthusiastic', 'excited']"
cooking_55_8,cooking,16,13,15,0.8666666666666667,"['enthusiastic', 'happy', 'hopeful', 'proud', 'happy', 'grateful', 'curious', 'hopeful', 'enthusiastic', 'curious', 'excited', 'excited', 'enthusiastic', 'proud', 'proud', 'enthusiastic']"
cooking_59_9,cooking,9,8,8,1.0,"['relaxed', 'amused', 'curious', 'amused', 'happy', 'curious', 'excited', 'proud', 'enthusiastic']"
cooking_68_8,cooking,8,7,7,1.0,"['grateful', 'relaxed', 'amused', 'curious', 'amused', 'excited', 'proud', 'grateful']"
cooking_71_8,cooking,8,7,7,1.0,"['happy', 'amused', 'happy', 'amused', 'excited', 'surprised', 'excited', 'enthusiastic']"
cooking_72_8,cooking,16,14,15,0.9333333333333333,"['happy', 'enthusiastic', 'excited', 'excited', 'enthusiastic', 'surprised', 'excited', 'amused', 'curious', 'excited', 'enthusiastic', 'happy', 'curious', 'grateful', 'excited', 'happy']"
cooking_81_10,cooking,30,25,29,0.8620689655172413,"['curious', 'enthusiastic', 'relaxed', 'confused', 'happy', 'happy', 'curious', 'excited', 'grateful', 'amused', 'amused', 'relaxed', 'excited', 'curious', 'happy', 'amused', 'enthusiastic', 'enthusiastic', 'relaxed', 'curious', 'curious', 'grateful', 'excited', 'amused', 'relaxed', 'proud', 'happy', 'hopeful', 'relaxed', 'grateful']"
cooking_82_8,cooking,8,7,7,1.0,"['grateful', 'happy', 'enthusiastic', 'excited', 'happy', 'excited', 'enthusiastic', 'excited']"
cooking_86_10,cooking,10,9,9,1.0,"['excited', 'surprised', 'curious', 'excited', 'curious', 'amused', 'excited', 'amused', 'happy', 'relaxed']"
cooking_87_10,cooking,20,18,19,0.9473684210526315,"['curious', 'enthusiastic', 'amused', 'proud', 'happy', 'excited', 'enthusiastic', 'curious', 'happy', 'enthusiastic', 'grateful', 'happy', 'relaxed', 'relaxed', 'happy', 'amused', 'enthusiastic', 'relaxed', 'happy', 'amused']"
cooking_89_9,cooking,9,8,8,1.0,"['relaxed', 'happy', 'excited', 'enthusiastic', 'happy', 'amused', 'curious', 'amused', 'happy']"
cooking_92_9,cooking,18,16,17,0.9411764705882353,"['amused', 'relaxed', 'happy', 'grateful', 'excited', 'happy', 'enthusiastic', 'amused', 'proud', 'relaxed', 'excited', 'amused', 'amused', 'relaxed', 'happy', 'grateful', 'amused', 'happy']"
cooking_93_9,cooking,9,8,8,1.0,"['happy', 'enthusiastic', 'happy', 'grateful', 'happy', 'relaxed', 'amused', 'excited', 'amused']"
cooking_96_9,cooking,9,8,8,1.0,"['amused', 'happy', 'enthusiastic', 'happy', 'grateful', 'happy', 'grateful', 'happy', 'amused']"
education_13_9,education,18,16,17,0.9411764705882353,"['enthusiastic', 'curious', 'excited', 'excited', 'amused', 'curious', 'happy', 'enthusiastic', 'relaxed', 'hopeful', 'happy', 'excited', 'curious', 'proud', 'enthusiastic', 'excited', 'hopeful', 'curious']"
education_15_9,education,9,8,8,1.0,"['relaxed', 'hopeful', 'excited', 'proud', 'excited', 'curious', 'amused', 'excited', 'enthusiastic']"
education_20_10,education,10,9,9,1.0,"['hopeful', 'grateful', 'happy', 'enthusiastic', 'curious', 'enthusiastic', 'hopeful', 'curious', 'amused', 'excited']"
education_21_9,education,18,14,17,0.8235294117647058,"['excited', 'enthusiastic', 'curious', 'hopeful', 'surprised', 'curious', 'amused', 'excited', 'curious', 'surprised', 'excited', 'excited', 'enthusiastic', 'enthusiastic', 'proud', 'proud', 'enthusiastic', 'excited']"
education_24_8,education,24,21,23,0.9130434782608695,"['curious', 'amused', 'enthusiastic', 'excited', 'happy', 'hopeful', 'amused', 'grateful', 'excited', 'curious', 'relaxed', 'enthusiastic', 'excited', 'hopeful', 'proud', 'curious', 'curious', 'excited', 'excited', 'enthusiastic', 'amused', 'enthusiastic', 'proud', 'relaxed']"
education_27_10,education,20,19,19,1.0,"['excited', 'angry', 'curious', 'anxious', 'surprised', 'hopeful', 'curious', 'excited', 'amused', 'curious', 'relaxed', 'amused', 'hopeful', 'relaxed', 'happy', 'hopeful', 'proud', 'excited', 'relaxed', 'amused']"
education_2_9,education,18,16,17,0.9411764705882353,"['angry', 'hopeful', 'frustrated', 'curious', 'disappointed', 'enthusiastic', 'angry', 'curious', 'surprised', 'excited', 'curious', 'curious', 'enthusiastic', 'excited', 'curious', 'amused', 'excited', 'relaxed']"
education_31_10,education,10,9,9,1.0,"['excited', 'amused', 'excited', 'enthusiastic', 'hopeful', 'curious', 'enthusiastic', 'happy', 'amused', 'relaxed']"
education_3_8,education,16,15,15,1.0,"['excited', 'angry', 'proud', 'worried', 'excited', 'hopeful', 'enthusiastic', 'happy', 'excited', 'proud', 'curious', 'relaxed', 'excited', 'happy', 'enthusiastic', 'excited']"
education_40_8,education,8,7,7,1.0,"['enthusiastic', 'hopeful', 'excited', 'proud', 'relaxed', 'amused', 'excited', 'amused']"
education_44_9,education,18,15,17,0.8823529411764706,"['angry', 'angry', 'frustrated', 'anxious', 'angry', 'hopeful', 'anxious', 'curious', 'hopeful', 'enthusiastic', 'curious', 'hopeful', 'excited', 'excited', 'enthusiastic', 'happy', 'excited', 'enthusiastic']"
education_5_10,education,10,9,9,1.0,"['proud', 'enthusiastic', 'curious', 'amused', 'relaxed', 'hopeful', 'curious', 'excited', 'enthusiastic', 'curious']"
education_5_8,education,8,7,7,1.0,"['curious', 'amused', 'curious', 'excited', 'curious', 'confused', 'curious', 'excited']"
education_5_9,education,9,8,8,1.0,"['hopeful', 'anxious', 'hopeful', 'curious', 'enthusiastic', 'excited', 'proud', 'relaxed', 'amused']"
